Algorithme,Candidat,Epochs,Learning rate,Hidden size,Validation accuracy,Train accuracy,Temps (s)
Perceptron,v1_reference,12,0.01,16,0.5168918918918919,0.5682967959527825,3.5290093
Perceptron,more_epochs_lower_lr,25,0.005,16,0.4594594594594595,0.5446880269814502,7.6730937
Perceptron,more_epochs_small_lr,30,0.002,16,0.5236486486486487,0.6045531197301856,9.2236082
Perceptron,moderate_epochs_higher_lr,20,0.02,16,0.5202702702702703,0.6180438448566611,6.7927754
MLP,v1_reference,8,0.03,16,0.4966216216216216,0.5370994940978078,41.1972189
MLP,more_epochs_lower_lr,15,0.02,16,0.5033783783783784,0.5876897133220911,67.9318155
MLP,more_epochs_small_lr,20,0.01,16,0.5168918918918919,0.5809443507588533,76.5232597
MLP,wider_hidden_layer,12,0.02,32,0.5202702702702703,0.5809443507588533,79.5037169
SVM,v1_reference,12,0.005,16,0.527027027027027,0.5876897133220911,7.6377251
SVM,more_epochs_lower_lr,25,0.002,16,0.5067567567567568,0.6138279932546374,12.8880189
SVM,small_lr_low_regularization,30,0.001,16,0.527027027027027,0.6340640809443507,20.538853
SVM,moderate_epochs_more_regularization,20,0.005,16,0.4797297297297297,0.48988195615514335,10.5470465
